Country,Human Freedom Score 2023,Personal Freedom Score 2023,Economic Freedom Score 2023,Overall Score 2023,Helped Strangers in 2023,Donated Money in 2023,Volunteered in 2023,Rank,SWL
Switzerland,9.01,9.39,8.47,42.0,42%,56%,28%,2.0,273.33
New Zealand,8.88,9.2,8.43,53.0,65%,58%,35%,18.0,246.67
Denmark,8.83,9.35,8.1,51.0,62%,64%,26%,1.0,283.33
Ireland,8.79,9.27,8.11,49.0,56%,60%,32%,11.0,253.33
Sweden,8.75,9.43,7.81,48.0,55%,65%,23%,19.0,246.67
Estonia,8.75,9.32,7.95,44.0,58%,52%,21%,139.0,170.0
Iceland,8.73,9.31,7.93,44.0,49%,63%,19%,4.0,260.0
Luxembourg,8.71,9.29,7.91,41.0,43%,49%,31%,12.0,253.33
Finland,8.7,9.33,7.81,44.0,57%,51%,25%,6.0,256.67
Norway,8.58,9.23,7.67,49.0,59%,61%,28%,23.0,246.67
Netherlands,8.57,9.14,7.76,47.0,45%,64%,32%,15.0,250.0
Taiwan,8.56,8.98,7.97,35.0,55%,38%,11%,68.0,220.0
Canada,8.55,8.96,7.98,54.0,67%,62%,32%,10.0,253.33
Australia,8.52,8.86,8.05,51.0,65%,56%,31%,26.0,243.33
Latvia,8.45,8.98,7.71,37.0,57%,39%,14%,154.0,156.67
Japan,8.4,8.83,7.79,18.0,21%,16%,17%,90.0,206.67
United States,8.39,8.57,8.14,58.0,76%,61%,38%,7.0,246.67
United Kingdom,8.39,8.66,8.01,49.0,51%,71%,26%,41.0,236.67
Lithuania,8.39,8.71,7.95,24.0,41%,19%,12%,155.0,156.67
Czech Republic,8.38,8.78,7.81,44.0,63%,49%,22%,77.0,213.33
Germany,8.37,8.82,7.73,44.0,64%,49%,19%,35.0,240.0
Belgium,8.33,8.97,7.43,42.0,52%,50%,24%,28.0,243.33
Portugal,8.27,8.79,7.54,31.0,53%,24%,15%,92.0,203.33
Austria,8.24,8.64,7.69,44.0,50%,55%,27%,3.0,260.0
Malta,8.2,8.53,7.73,49.0,56%,65%,25%,14.0,250.0
Chile,8.16,8.52,7.66,40.0,68%,34%,17%,71.0,216.67
Cyprus,8.15,8.56,7.57,42.0,63%,40%,24%,49.0,230.0
South Korea,8.12,8.58,7.47,38.0,57%,40%,18%,102.0,193.33
Slovakia,8.04,8.44,7.49,30.0,48%,25%,17%,129.0,180.0
Costa Rica,8.04,8.25,7.76,40.0,71%,30%,20%,13.0,250.0
Spain,8.03,8.38,7.52,37.0,55%,39%,17%,46.0,233.33
Cape Verde,8.0,8.45,7.38,,,,,100.0,193.33
Armenia,7.99,8.29,7.58,28.0,59%,17%,10%,172.0,123.33
Croatia,7.96,8.47,7.25,18.0,30%,17%,7%,98.0,196.67
Uruguay,7.96,8.6,7.06,41.0,70%,30%,23%,87.0,210.0
Italy,7.95,8.45,7.25,37.0,53%,42%,15%,50.0,230.0
Romania,7.9,8.05,7.7,29.0,56%,20%,10%,136.0,173.33
Slovenia,7.9,8.38,7.23,42.0,49%,49%,28%,67.0,220.0
France,7.86,8.18,7.4,37.0,40%,37%,33%,62.0,240.0
Seychelles,7.85,8.37,7.12,,,,,20.0,246.67
Bahamas,7.82,8.73,6.55,,,,,,
Georgia,7.8,7.87,7.71,34.0,72%,,22%,169.0,136.67
Montenegro,7.8,7.95,7.59,27.0,38%,33%,9%,,
Singapore,7.75,7.17,8.56,49.0,67%,55%,24%,53.0,230.0
Barbados,7.72,8.27,6.94,,,,,27.0,243.33
Hong Kong,7.7,7.1,8.55,39.0,54%,46%,16%,63.0,220.0
Poland,7.69,8.09,7.12,15.0,22%,18%,4%,99.0,196.67
Bulgaria,7.68,7.84,7.46,23.0,44%,21%,5%,164.0,143.33
Albania,7.67,7.72,7.6,28.0,52%,25%,8%,157.0,153.33
Moldova,7.66,8.01,7.18,34.0,67%,22%,13%,175.0,116.67
North Macedonia,7.64,8.06,7.06,32.0,49%,39%,9%,,
Mauritius,7.61,7.46,7.82,37.0,48%,31%,32%,73.0,216.67
Panama,7.57,7.62,7.51,42.0,68%,25%,32%,39.0,240.0
Peru,7.56,7.6,7.52,32.0,64%,13%,18%,115.0,186.67
Dominican Republic,7.56,7.74,7.3,45.0,74%,25%,35%,42.0,233.33
Jamaica,7.56,7.62,7.46,47.0,83%,20%,40%,44.0,233.33
Greece,7.49,7.89,6.94,18.0,43%,6%,6%,84.0,210.0
Trinidad and Tobago,7.45,8.04,6.63,,,,,55.0,230.0
Israel,7.43,7.32,7.57,37.0,53%,39%,20%,58.0,223.33
Mongolia,7.43,7.71,7.04,46.0,49%,51%,36%,59.0,223.33
Bosnia and Herzegovina,7.33,7.81,6.66,38.0,54%,51%,9%,137.0,170.0
Botswana,7.31,7.64,6.84,33.0,73%,10%,15%,123.0,180.0
Namibia,7.31,8.13,6.16,38.0,73%,16%,26%,74.0,216.67
Hungary,7.24,7.15,7.36,41.0,74%,37%,12%,107.0,190.0
Ghana,7.19,7.75,6.41,46.0,67%,36%,34%,89.0,206.67
Fiji,7.16,7.76,6.32,,,,,57.0,223.33
Serbia,7.14,7.35,6.85,29.0,40%,41%,6%,,
Guatemala,7.09,6.79,7.5,39.0,62%,22%,33%,43.0,233.33
Suriname,7.07,8.17,5.52,,,,,32.0,243.33
Paraguay,7.06,7.09,7.02,44.0,69%,30%,32%,75.0,216.67
Ecuador,7.03,7.43,6.46,37.0,65%,21%,24%,111.0,186.67
Brazil,6.92,7.16,6.58,37.0,64%,26%,21%,81.0,210.0
South Africa,6.92,7.19,6.53,42.0,71%,24%,30%,109.0,190.0
Papua New Guinea,6.88,7.48,6.05,,,,,86.0,210.0
Benin,6.86,7.17,6.41,29.0,50%,18%,18%,122.0,180.0
Argentina,6.85,8.34,4.77,36.0,66%,22%,21%,56.0,226.67
El Salvador,6.85,6.67,7.11,36.0,65%,17%,27%,61.0,220.0
Malawi,6.83,7.52,5.87,38.0,65%,17%,31%,158.0,153.33
Bolivia,6.83,7.36,6.08,39.0,68%,19%,28%,117.0,183.33
Belize,6.82,7.47,5.91,,,,,48.0,230.0
Guyana,6.74,7.67,5.43,,,,,36.0,240.0
Ukraine,6.72,7.12,6.17,62.0,78%,70%,37%,174.0,120.0
Honduras,6.72,6.55,6.97,45.0,67%,33%,35%,37.0,240.0
Nepal,6.71,7.01,6.3,41.0,49%,37%,37%,119.0,183.33
Senegal,6.71,7.07,6.2,45.0,77%,26%,33%,116.0,186.67
Bhutan,6.69,6.74,6.62,,,,,8.0,253.33
Thailand,6.67,6.39,7.07,45.0,52%,63%,19%,76.0,216.67
Malaysia,6.66,6.28,7.19,46.0,55%,57%,26%,17.0,246.67
Kyrgyzstan,6.64,6.48,6.88,45.0,67%,47%,22%,65.0,220.0
Gambia,6.64,6.3,7.11,52.0,69%,54%,33%,,
Indonesia,6.62,6.39,6.93,68.0,61%,82%,61%,64.0,220.0
Kenya,6.57,6.38,6.82,60.0,76%,53%,51%,112.0,186.67
Burkina Faso,6.57,6.88,6.14,,,,,152.0,156.67
Mexico,6.55,6.22,7.02,34.0,62%,22%,19%,51.0,230.0
Colombia,6.54,6.5,6.6,34.0,66%,16%,20%,34.0,240.0
Mozambique,6.51,6.86,6.03,33.0,53%,18%,29%,127.0,180.0
Sierra Leone,6.51,6.94,5.91,48.0,76%,26%,42%,143.0,166.67
Gabon,6.5,7.28,5.41,33.0,69%,15%,14%,88.0,206.67
Lesotho,6.49,6.87,5.95,32.0,63%,8%,23%,165.0,143.33
Ivory Coast,6.48,6.79,6.04,38.0,69%,24%,21%,,
Philippines,6.46,6.07,7.01,34.0,57%,12%,34%,78.0,213.33
Kazakhstan,6.4,5.88,7.13,33.0,49%,38%,13%,101.0,193.33
Liberia,6.39,6.79,5.82,58.0,80%,30%,65%,,
Haiti,6.37,6.53,6.15,,,,,118.0,183.33
Madagascar,6.36,6.68,5.92,39.0,53%,22%,41%,103.0,193.33
Jordan,6.32,5.63,7.3,28.0,64%,13%,8%,141.0,170.0
India,6.29,6.06,6.62,44.0,60%,35%,37%,125.0,180.0
Niger,6.29,6.64,5.8,35.0,66%,16%,22%,161.0,150.0
Kuwait,6.25,5.98,6.63,57.0,79%,54%,37%,38.0,240.0
Tunisia,6.22,6.36,6.02,24.0,57%,6%,9%,79.0,213.33
Zambia,6.21,6.47,5.84,39.0,73%,20%,24%,148.0,163.33
Togo,6.2,6.17,6.24,35.0,59%,18%,28%,147.0,163.33
Tanzania,6.16,6.08,6.27,30.0,46%,33%,12%,121.0,183.33
Sri Lanka,6.13,6.13,6.13,49.0,69%,34%,43%,93.0,203.33
Cambodia,6.08,5.54,6.82,23.0,22%,38%,7%,110.0,186.67
Nigeria,5.96,5.45,6.67,53.0,79%,41%,37%,120.0,183.33
Mali,5.9,5.97,5.8,34.0,59%,16%,27%,131.0,176.67
Rwanda,5.89,5.27,6.77,,,,,163.0,146.67
Russia,5.81,5.48,6.28,34.0,57%,29%,16%,167.0,143.33
Angola,5.76,6.03,5.38,,,,,149.0,160.0
Uganda,5.75,5.11,6.64,46.0,70%,32%,36%,156.0,156.67
Lebanon,5.74,6.16,5.15,23.0,42%,18%,10%,113.0,186.67
United Arab Emirates,5.73,4.57,7.35,52.0,63%,60%,34%,22.0,246.67
Azerbaijan,5.65,5.41,5.99,42.0,67%,39%,20%,144.0,163.33
Brunei,5.65,4.61,7.12,,,,,9.0,253.33
Turkey,5.63,5.14,6.32,,,,,133.0,176.67
Oman,5.56,4.83,6.58,,,,,30.0,243.33
Bangladesh,5.51,5.3,5.81,33.0,68%,20%,12%,104.0,190.0
Vietnam,5.51,4.97,6.26,23.0,47%,12%,11%,95.0,203.33
Pakistan,5.49,5.13,5.98,25.0,37%,25%,12%,166.0,143.33
DR Congo,5.48,5.59,5.33,41.0,69%,21%,32%,,
Morocco,5.48,4.8,6.42,26.0,70%,2%,8%,114.0,186.67
Belarus,5.48,4.94,6.23,,,,,170.0,133.33
Nicaragua,5.48,4.73,6.52,39.0,63%,25%,29%,85.0,210.0
Bahrain,5.47,4.05,7.44,,,,,33.0,240.0
Comoros,5.45,5.32,5.63,36.0,58%,19%,32%,97.0,196.67
Tajikistan,5.44,4.77,6.38,48.0,69%,22%,53%,94.0,203.33
Republic of the Congo,5.41,5.8,4.85,,,,,105.0,190.0
Qatar,5.39,4.54,6.58,,,,,45.0,233.33
Laos,5.34,4.7,6.24,32.0,41%,36%,18%,126.0,180.0
Central African Republic,5.34,5.58,5.01,,,,,145.0,163.33
Mauritania,5.34,5.02,5.78,40.0,63%,23%,34%,132.0,176.67
Djibouti,5.32,4.99,5.79,,,,,150.0,160.0
Cameroon,5.3,5.0,5.72,41.0,71%,24%,27%,138.0,170.0
Guinea,5.21,4.91,5.62,46.0,68%,33%,38%,140.0,170.0
Ethiopia,5.2,5.03,5.44,50.0,62%,54%,33%,153.0,156.67
China,5.15,4.42,6.18,,,,,82.0,210.0
Eswatini,5.07,4.89,5.33,37.0,71%,14%,25%,,
Chad,4.99,4.77,5.31,47.0,68%,36%,38%,159.0,150.0
Libya,4.94,5.15,4.65,44.0,80%,29%,23%,108.0,190.0
Zimbabwe,4.86,5.61,3.81,31.0,61%,11%,20%,177.0,110.0
Burundi,4.85,4.46,5.4,,,,,178.0,100.0
Algeria,4.82,4.82,4.82,32.0,53%,25%,19%,134.0,173.33
Iraq,4.73,4.19,5.49,42.0,75%,35%,17%,,
Saudi Arabia,4.53,3.02,6.64,40.0,67%,37%,16%,31.0,243.33
Somalia,4.49,3.65,5.66,,,,,,
Egypt,4.24,3.36,5.47,25.0,63%,9%,4%,151.0,160.0
Venezuela,4.22,5.09,3.01,40.0,75%,16%,31%,25.0,246.67
Iran,4.03,3.67,4.53,45.0,67%,53%,13%,96.0,200.0
Myanmar,3.88,2.84,5.33,57.0,54%,83%,34%,130.0,176.67
Sudan,3.81,3.68,3.98,,,,,173.0,120.0
Yemen,3.43,2.89,4.18,18.0,43%,4%,6%,91.0,206.67
Syria,2.96,2.29,3.9,,,,,142.0,170.0
Total,6.748282208588956,6.823803680981596,6.642331288343558,,,,,,
